id,title,tel,email
CPC,Competition Programme Coordinator,,competition-programme@studentrobotics.org
CEC,Competition Event Coordinator,,competition-event@studentrobotics.org
IO,Internet Owner,,infrastructure@studentrobotics.org
FC,Fundraising Coordinator,,fundraising@studentrobotics.org
FV,Fundraising Volunteer,,
GDC,Game Design Coordinator,,game-design@studentrobotics.org
GDV,Game Design Volunteers,,
KC,Kit Coordinator,,kit@studentrobotics.org
KEC,Kickstart Events Coordinator,,kickstart-event@studentrobotics.org
LAC,Local Activity Coordinator,,
LAV,Local Activity Volunteers,,
LTC,Local Team Coordinator,,
LKEC,Local Kickstart Event Coordinator,,
LKV,Local Kickstart Volunteers,,
LP,Local Presenter,,
Mentors,Mentors,,
PRC,Public Relations Coordinator,,public-relations@studentrobotics.org
TC,Team Coordinator,,teams@studentrobotics.org
Treasurer,Treasurer,,treasurer@studentrobotics.org
Trustee,Trustee,,trustees@studentrobotics.org
VRC,Volunteer Recruitment Coordinator,,volunteer-recruitment@studentrobotics.org
WC,Welfare Coordinator,,welfare@studentrobotics.org
